(9357.0, 7287.0) ==> (9198.0, 7466.0) ==> (9039.0, 7645.0) ==> (8880.0, 7824.0)
(9786.0, 6657.0) ==> (9643.0, 6867.0) ==> (9500.0, 7077.0) ==> (9357.0, 7287.0)
(9786.0, 6657.0) ==> (9643.0, 6867.0) ==> (9500.0, 7077.0) ==> (9357.0, 7287.0)
(9786.0, 6657.0) ==> (9643.0, 6867.0) ==> (9500.0, 7077.0) ==> (9357.0, 7287.0)
(9786.0, 6657.0) ==> (9643.0, 6867.0) ==> (9500.0, 7077.0) ==> (9357.0, 7287.0)
(10140.0, 5664.0) ==> (10022.0, 5995.0) ==> (9904.0, 6326.0) ==> (9786.0, 6657.0)
(10140.0, 5664.0) ==> (10022.0, 5995.0) ==> (9904.0, 6326.0) ==> (9786.0, 6657.0)
(10140.0, 5664.0) ==> (10022.0, 5995.0) ==> (9904.0, 6326.0) ==> (9786.0, 6657.0)
(10140.0, 5664.0) ==> (10221.0, 5686.0) ==> (10302.0, 5708.0) ==> (10383.0, 5730.0)
(10140.0, 5664.0) ==> (10022.0, 5995.0) ==> (9904.0, 6326.0) ==> (9786.0, 6657.0)
(10140.0, 5664.0) ==> (10221.0, 5686.0) ==> (10302.0, 5708.0) ==> (10383.0, 5730.0)
(10140.0, 5664.0) ==> (10221.0, 5686.0) ==> (10302.0, 5708.0) ==> (10383.0, 5730.0)
(10140.0, 5664.0) ==> (10221.0, 5686.0) ==> (10302.0, 5708.0) ==> (10383.0, 5730.0)
(10626.0, 4713.0) ==> (10545.0, 5052.0) ==> (10464.0, 5391.0) ==> (10383.0, 5730.0)
(10626.0, 4713.0) ==> (10545.0, 5052.0) ==> (10464.0, 5391.0) ==> (10383.0, 5730.0)
(10626.0, 4713.0) ==> (10545.0, 5052.0) ==> (10464.0, 5391.0) ==> (10383.0, 5730.0)
(11157.0, 4194.0) ==> (10980.0, 4367.0) ==> (10803.0, 4540.0) ==> (10626.0, 4713.0)
(10626.0, 4713.0) ==> (10545.0, 5052.0) ==> (10464.0, 5391.0) ==> (10383.0, 5730.0)
(11157.0, 4194.0) ==> (10980.0, 4367.0) ==> (10803.0, 4540.0) ==> (10626.0, 4713.0)
(11157.0, 4194.0) ==> (10980.0, 4367.0) ==> (10803.0, 4540.0) ==> (10626.0, 4713.0)
(11157.0, 4194.0) ==> (11408.0, 4287.0) ==> (11659.0, 4380.0) ==> (11910.0, 4473.0)
(11157.0, 4194.0) ==> (10980.0, 4367.0) ==> (10803.0, 4540.0) ==> (10626.0, 4713.0)
(11157.0, 4194.0) ==> (11408.0, 4287.0) ==> (11659.0, 4380.0) ==> (11910.0, 4473.0)
(11157.0, 4194.0) ==> (11408.0, 4287.0) ==> (11659.0, 4380.0) ==> (11910.0, 4473.0)
(11910.0, 4473.0) ==> (12218.0, 5012.0) ==> (12526.0, 5551.0) ==> (12834.0, 6090.0)
(11157.0, 4194.0) ==> (11408.0, 4287.0) ==> (11659.0, 4380.0) ==> (11910.0, 4473.0)
(11910.0, 4473.0) ==> (12218.0, 5012.0) ==> (12526.0, 5551.0) ==> (12834.0, 6090.0)
(11910.0, 4473.0) ==> (12218.0, 5012.0) ==> (12526.0, 5551.0) ==> (12834.0, 6090.0)
(11910.0, 4473.0) ==> (12218.0, 5012.0) ==> (12526.0, 5551.0) ==> (12834.0, 6090.0)
(12834.0, 6090.0) ==> (13024.0, 6299.0) ==> (13214.0, 6508.0) ==> (13404.0, 6717.0)
(12834.0, 6090.0) ==> (13024.0, 6299.0) ==> (13214.0, 6508.0) ==> (13404.0, 6717.0)
(12834.0, 6090.0) ==> (13024.0, 6299.0) ==> (13214.0, 6508.0) ==> (13404.0, 6717.0)
(12834.0, 6090.0) ==> (13024.0, 6299.0) ==> (13214.0, 6508.0) ==> (13404.0, 6717.0)
(13404.0, 6717.0) ==> (13654.0, 6877.0) ==> (13904.0, 7037.0) ==> (14154.0, 7197.0)
(13404.0, 6717.0) ==> (13654.0, 6877.0) ==> (13904.0, 7037.0) ==> (14154.0, 7197.0)
(13404.0, 6717.0) ==> (13654.0, 6877.0) ==> (13904.0, 7037.0) ==> (14154.0, 7197.0)
(13404.0, 6717.0) ==> (13654.0, 6877.0) ==> (13904.0, 7037.0) ==> (14154.0, 7197.0)
(10197.0, 5520.0) ==> (9297.0, 6089.0) ==> (8397.0, 6658.0) ==> (7497.0, 7227.0)
(10197.0, 5520.0) ==> (9297.0, 6089.0) ==> (8397.0, 6658.0) ==> (7497.0, 7227.0)
(10197.0, 5520.0) ==> (9297.0, 6089.0) ==> (8397.0, 6658.0) ==> (7497.0, 7227.0)
(10197.0, 5520.0) ==> (9297.0, 6089.0) ==> (8397.0, 6658.0) ==> (7497.0, 7227.0)
(10200.0, 4530.0) ==> (9738.0, 4990.0) ==> (9276.0, 5450.0) ==> (8814.0, 5910.0)
(10200.0, 4530.0) ==> (9738.0, 4990.0) ==> (9276.0, 5450.0) ==> (8814.0, 5910.0)
(10200.0, 4530.0) ==> (9738.0, 4990.0) ==> (9276.0, 5450.0) ==> (8814.0, 5910.0)
(11397.0, 3753.0) ==> (10998.0, 4012.0) ==> (10599.0, 4271.0) ==> (10200.0, 4530.0)
(10200.0, 4530.0) ==> (9738.0, 4990.0) ==> (9276.0, 5450.0) ==> (8814.0, 5910.0)
